id,device,accX,accY,accZ,millis,created,gyX,gyY,gyZ,magX,magY,magZ,yaw,pitch,roll,temp
1361553,pilot02,-81.2378,-78.5522,921.9971,181103511,2020-04-28 03:21:10.513,0,0,0,0,0,0,0,0,0,0
1361554,pilot02,-79.895,-76.416,921.0815,181120422,2020-04-28 03:21:27.573,0,0,0,0,0,0,0,0,0,0
1361555,pilot02,-81.7261,-85.3882,923.9502,181137483,2020-04-28 03:21:44.337,0,0,0,0,0,0,0,0,0,0
1361556,pilot02,-80.3833,-84.7778,916.3208,181154255,2020-04-28 03:22:01.277,0,0,0,0,0,0,0,0,0,0
1361557,pilot02,-82.3975,-86.853,922.9736,181171181,2020-04-28 03:22:18.600,0,0,0,0,0,0,0,0,0,0
1361558,pilot02,-74.1577,-85.144,901.123,181188502,2020-04-28 03:22:35.790,0,0,0,0,0,0,0,0,0,0
1361559,pilot02,-80.6274,-76.2939,926.6357,181205698,2020-04-28 03:22:52.943,0,0,0,0,0,0,0,0,0,0
1361560,pilot02,-76.7212,-86.4258,920.105,181222844,2020-04-28 03:23:09.707,0,0,0,0,0,0,0,0,0,0
1361561,pilot02,-84.8389,-78.5522,914.3677,181239606,2020-04-28 03:23:27.233,0,0,0,0,0,0,0,0,0,0
1361562,pilot02,-78.0029,-75.6226,921.1426,181257151,2020-04-28 03:23:44.480,0,0,0,0,0,0,0,0,0,0
1361563,pilot02,-79.4067,-77.6978,922.1191,181274387,2020-04-28 03:24:01.270,0,0,0,0,0,0,0,0,0,0
1361564,pilot02,-79.1016,-78.064,921.936,181291174,2020-04-28 03:24:18.843,0,0,0,0,0,0,0,0,0,0
1361565,pilot02,-79.9561,-77.5146,921.814,181308744,2020-04-28 03:24:35.797,0,0,0,0,0,0,0,0,0,0
1361566,pilot02,-79.5898,-76.0498,923.2788,181325696,2020-04-28 03:24:54.350,0,0,0,0,0,0,0,0,0,0
1361567,pilot02,-81.4209,-77.4536,921.4478,181344260,2020-04-28 03:25:11.610,0,0,0,0,0,0,0,0,0,0
1361568,pilot02,-78.6133,-77.2095,920.5322,181361506,2020-04-28 03:25:28.620,0,0,0,0,0,0,0,0,0,0
1361569,pilot02,-80.8105,-77.0874,922.6685,181378517,2020-04-28 03:25:45.493,0,0,0,0,0,0,0,0,0,0
1361570,pilot02,-81.0547,-79.9561,919.5557,181395398,2020-04-28 03:26:02.873,0,0,0,0,0,0,0,0,0,0
1361571,pilot02,-79.1626,-77.0264,922.1802,181412779,2020-04-28 03:26:19.720,0,0,0,0,0,0,0,0,0,0
1361572,pilot02,-80.3223,-75.3174,922.6685,181429615,2020-04-28 03:26:36.287,0,0,0,0,0,0,0,0,0,0
1361573,pilot02,-79.4067,-78.4912,922.9126,181446192,2020-04-28 03:26:56.517,0,0,0,0,0,0,0,0,0,0
1361574,pilot02,-81.9092,-79.4067,921.875,181466429,2020-04-28 03:27:17.103,0,0,0,0,0,0,0,0,0,0
1361575,pilot02,-79.3457,-77.8198,916.8701,181487010,2020-04-28 03:27:36.460,0,0,0,0,0,0,0,0,0,0
1361576,pilot02,-76.416,-76.7212,921.6309,181506363,2020-04-28 03:27:54.657,0,0,0,0,0,0,0,0,0,0
1361577,pilot02,-79.9561,-78.8574,918.8232,181524538,2020-04-28 03:28:12.700,0,0,0,0,0,0,0,0,0,0
1361578,pilot02,-78.8574,-79.2236,916.2598,181542578,2020-04-28 03:28:30.553,0,0,0,0,0,0,0,0,0,0
1361579,pilot02,-79.7729,-78.7964,922.9736,181560453,2020-04-28 03:28:50.273,0,0,0,0,0,0,0,0,0,0
1361580,pilot02,-78.5522,-76.0498,920.7764,181580165,2020-04-28 03:29:12.893,0,0,0,0,0,0,0,0,0,0
1361581,pilot02,-78.125,-75.7446,925.5981,181602898,2020-04-28 03:29:34.410,0,0,0,0,0,0,0,0,0,0
1361582,pilot02,-76.4771,-87.5854,905.8838,181624308,2020-04-28 03:29:57.340,0,0,0,0,0,0,0,0,0,0
1361583,pilot02,-81.8481,-75.1953,936.2183,181647251,2020-04-28 03:30:16.073,0,0,0,0,0,0,0,0,0,0
1361584,pilot02,-73.3643,-85.144,916.8701,181665955,2020-04-28 03:30:33.760,0,0,0,0,0,0,0,0,0,0
1361585,pilot02,-76.8433,-78.6133,928.1616,181683641,2020-04-28 03:30:50.500,0,0,0,0,0,0,0,0,0,0
1361586,pilot02,-78.6133,-76.1719,914.856,181700392,2020-04-28 03:31:09.417,0,0,0,0,0,0,0,0,0,0
1361587,pilot02,-78.064,-69.7021,915.1611,181719316,2020-04-28 03:31:29.353,0,0,0,0,0,0,0,0,0,0
1361588,pilot02,-76.9653,-75.6836,923.2178,181739238,2020-04-28 03:31:47.077,0,0,0,0,0,0,0,0,0,0
1361589,pilot02,-78.9185,-76.416,919.0063,181756968,2020-04-28 03:32:05.147,0,0,0,0,0,0,0,0,0,0
1361590,pilot02,-78.4912,-77.9419,923.0957,181775033,2020-04-28 03:32:22.613,0,0,0,0,0,0,0,0,0,0
1361591,pilot02,-78.8574,-75.6226,923.5229,181792503,2020-04-28 03:32:40.187,0,0,0,0,0,0,0,0,0,0
1361592,pilot02,-79.2847,-78.4912,919.0063,181810068,2020-04-28 03:32:57.233,0,0,0,0,0,0,0,0,0,0
1361593,pilot02,-78.9185,-75.3174,926.9409,181827109,2020-04-28 03:33:17.023,0,0,0,0,0,0,0,0,0,0
1361594,pilot02,-78.125,-75.0122,923.1567,181846917,2020-04-28 03:33:35.857,0,0,0,0,0,0,0,0,0,0
1361595,pilot02,-80.5664,-78.7964,920.6543,181865750,2020-04-28 03:33:54.020,0,0,0,0,0,0,0,0,0,0
1361596,pilot02,-76.5991,-71.6553,924.9878,181883880,2020-04-28 03:34:13.580,0,0,0,0,0,0,0,0,0,0
1361597,pilot02,-76.2329,-75.8667,923.4619,181903462,2020-04-28 03:34:31.033,0,0,0,0,0,0,0,0,0,0
1361598,pilot02,-75.1953,-74.1577,927.3682,181920913,2020-04-28 03:34:47.980,0,0,0,0,0,0,0,0,0,0
1361599,pilot02,-78.3691,-77.0874,929.6875,181937864,2020-04-28 03:35:06.437,0,0,0,0,0,0,0,0,0,0
1361600,pilot02,-74.0967,-71.5332,926.4526,181956208,2020-04-28 03:35:24.053,0,0,0,0,0,0,0,0,0,0
1361601,pilot02,-74.646,-73.0591,927.5513,181973928,2020-04-28 03:35:42.893,0,0,0,0,0,0,0,0,0,0
1361602,pilot02,-75.2563,-71.2891,923.0347,181992772,2020-04-28 03:36:00.447,0,0,0,0,0,0,0,0,0,0
1361603,pilot02,-75.5615,-73.5474,923.7671,182010312,2020-04-28 03:36:17.433,0,0,0,0,0,0,0,0,0,0
1361604,pilot02,-74.585,-72.4487,928.9551,182027313,2020-04-28 03:36:36.087,0,0,0,0,0,0,0,0,0,0
1361605,pilot02,-77.9419,-77.3315,922.9736,182045967,2020-04-28 03:36:53.517,0,0,0,0,0,0,0,0,0,0
1361606,pilot02,-73.7305,-71.0449,925.2319,182063393,2020-04-28 03:37:11.303,0,0,0,0,0,0,0,0,0,0
1361607,pilot02,-77.1484,-73.8525,922.6685,182081183,2020-04-28 03:37:28.423,0,0,0,0,0,0,0,0,0,0
1361608,pilot02,-79.2236,-77.9419,935.8521,182098288,2020-04-28 03:37:46.053,0,0,0,0,0,0,0,0,0,0
1361609,pilot02,-78.5522,-67.4438,929.4434,182115924,2020-04-28 03:38:03.910,0,0,0,0,0,0,0,0,0,0
1361610,pilot02,-77.3315,-81.2988,914.5508,182133784,2020-04-28 03:38:21.290,0,0,0,0,0,0,0,0,0,0
1361611,pilot02,-74.4629,-71.4111,937.439,182151164,2020-04-28 03:38:40.260,0,0,0,0,0,0,0,0,0,0
1361612,pilot02,-80.2002,-83.6182,911.1938,182170143,2020-04-28 03:38:59.293,0,0,0,0,0,0,0,0,0,0
1361613,pilot02,-75.8057,-71.4111,916.626,182189166,2020-04-28 03:39:16.837,0,0,0,0,0,0,0,0,0,0
1361614,pilot02,-79.895,-76.6602,927.124,182206701,2020-04-28 03:39:33.680,0,0,0,0,0,0,0,0,0,0
1361615,pilot02,-75.5005,-72.6318,925.0488,182223562,2020-04-28 03:39:51.917,0,0,0,0,0,0,0,0,0,0
1361616,pilot02,-79.1016,-75.6836,922.5464,182241786,2020-04-28 03:40:10.433,0,0,0,0,0,0,0,0,0,0
1361617,pilot02,-72.6929,-73.9746,925.5371,182260315,2020-04-28 03:40:29.363,0,0,0,0,0,0,0,0,0,0
1361618,pilot02,-73.7915,-74.8291,928.772,182279229,2020-04-28 03:40:47.280,0,0,0,0,0,0,0,0,0,0
1361619,pilot02,-73.1812,-71.4111,925.9644,182297143,2020-04-28 03:41:05.483,0,0,0,0,0,0,0,0,0,0
1361620,pilot02,-75.0122,-72.937,926.2085,182315353,2020-04-28 03:41:24.227,0,0,0,0,0,0,0,0,0,0
1361621,pilot02,-76.5381,-74.9512,927.7954,182334096,2020-04-28 03:41:42.313,0,0,0,0,0,0,0,0,0,0
1361622,pilot02,-74.7681,-74.707,925.354,182352171,2020-04-28 03:42:02.103,0,0,0,0,0,0,0,0,0,0
1361623,pilot02,-75.9277,-74.0967,926.9409,182371953,2020-04-28 03:42:22.580,0,0,0,0,0,0,0,0,0,0
1361624,pilot02,-73.4863,-73.7305,927.6123,182392449,2020-04-28 03:42:40.113,0,0,0,0,0,0,0,0,0,0
1361625,pilot02,-75.6836,-73.9746,927.7954,182409969,2020-04-28 03:42:59.923,0,0,0,0,0,0,0,0,0,0
1361626,pilot02,-75.3784,-73.7915,925.354,182429777,2020-04-28 03:43:17.893,0,0,0,0,0,0,0,0,0,0
1361627,pilot02,-74.9512,-73.7915,926.1475,182447751,2020-04-28 03:43:38.137,0,0,0,0,0,0,0,0,0,0
1361628,pilot02,-75.0732,-72.7539,929.8096,182467997,2020-04-28 03:43:55.993,0,0,0,0,0,0,0,0,0,0
1361629,pilot02,-76.2329,-74.646,922.6074,182485897,2020-04-28 03:44:16.563,0,0,0,0,0,0,0,0,0,0
1361630,pilot02,-76.355,-74.4629,925.1709,182506423,2020-04-28 03:44:38.693,0,0,0,0,0,0,0,0,0,0
1361631,pilot02,-74.4019,-71.8384,927.7344,182528552,2020-04-28 03:44:58.360,0,0,0,0,0,0,0,0,0,0
1361632,pilot02,-76.6602,-71.4111,926.3306,182548234,2020-04-28 03:45:16.693,0,0,0,0,0,0,0,0,0,0
1361633,pilot02,-73.4253,-72.6318,925.4761,182566544,2020-04-28 03:45:34.787,0,0,0,0,0,0,0,0,0,0
1361634,pilot02,-76.6602,-70.1904,923.0347,182584638,2020-04-28 03:45:53.777,0,0,0,0,0,0,0,0,0,0
