"id","device","accX","accY","accZ","millis","created"
4849681,"pilot99",10.13466,0.5291186,0.5195417,649900949,"2020-08-05T00:02:29.343Z"
4849684,"pilot99",9.995792,0.2274492,-0.01915361,649900950,"2020-08-05T00:02:30.263Z"
4849687,"pilot99",10.17775,-0.07900865,0.2896984,649900951,"2020-08-05T00:02:31.280Z"
4849690,"pilot99",10.14663,0.09097966,-0.2298434,649900952,"2020-08-05T00:02:32.310Z"
4849693,"pilot99",10.20648,0.2466028,-0.1747767,649900953,"2020-08-05T00:02:33.347Z"
4849696,"pilot99",9.995792,0.08858546,0.3112462,649900954,"2020-08-05T00:02:34.357Z"
4849699,"pilot99",10.01255,0.2513912,-0.3064578,649900955,"2020-08-05T00:02:35.373Z"
4849702,"pilot99",10.13226,0.617704,0.7015011,649900956,"2020-08-05T00:02:36.297Z"
4849705,"pilot99",9.955091,0.3160346,-0.05985504,649900957,"2020-08-05T00:02:37.313Z"
4849708,"pilot99",10.09635,0.1699883,0.7158663,649900958,"2020-08-05T00:02:38.343Z"
4849711,"pilot99",10.05565,0.5386954,0.08379706,649900959,"2020-08-05T00:02:39.357Z"
4849714,"pilot99",10.02931,0.5674258,0.5961562,649900960,"2020-08-05T00:02:40.287Z"
4849718,"pilot99",9.840169,0.1963245,0.7900866,649900961,"2020-08-05T00:02:41.330Z"
4849721,"pilot99",10.07001,0.2154782,-0.3782839,649900962,"2020-08-05T00:02:42.267Z"
4849723,"pilot99",10.14184,0.4189853,0.5865794,649900963,"2020-08-05T00:02:43.360Z"
4849727,"pilot99",10.07001,-0.02154782,-0.1268927,649900964,"2020-08-05T00:02:44.270Z"
4849730,"pilot99",10.16339,-0.1771709,-0.01915361,649900965,"2020-08-05T00:02:45.333Z"
4849733,"pilot99",10.17775,0.1771709,-0.3926491,649900966,"2020-08-05T00:02:46.320Z"
4849736,"pilot99",10.06762,0.04070143,1.063026,649900967,"2020-08-05T00:02:47.350Z"
4849739,"pilot99",10.06762,0.1723825,-0.5195417,649900968,"2020-08-05T00:02:48.380Z"
4849742,"pilot99",10.18254,0.7086837,0.7015011,649900969,"2020-08-05T00:02:49.287Z"
4849745,"pilot99",10.00537,0.3495534,0.08140286,649900970,"2020-08-05T00:02:50.320Z"
4849748,"pilot99",10.09395,0.1843535,0.1101333,649900971,"2020-08-05T00:02:51.350Z"
4849751,"pilot99",10.0748,0.5889736,0.521936,649900972,"2020-08-05T00:02:52.367Z"
4849754,"pilot99",9.837775,0.248997,0.4788404,649900973,"2020-08-05T00:02:53.287Z"
4849757,"pilot99",9.969456,0.2202666,0.2394202,649900974,"2020-08-05T00:02:54.310Z"
4849760,"pilot99",9.945514,0.4165911,-0.1268927,649900975,"2020-08-05T00:02:55.327Z"
4849763,"pilot99",9.979033,0.2106898,0.7565677,649900976,"2020-08-05T00:02:56.357Z"
