"id","device","accX","accY","accZ","millis","created"
4750556,"pilot99",9.861717,0.3112462,1.398214,649859639,"2020-08-04T12:34:00.323Z"
4750558,"pilot99",10.05325,0.3256114,0.2346318,649859640,"2020-08-04T12:34:01.213Z"
4750559,"pilot99",9.981427,0.1388637,-0.2442086,649859641,"2020-08-04T12:34:02.303Z"
4750562,"pilot99",10.09156,0.1197101,-0.004788404,649859642,"2020-08-04T12:34:03.327Z"
4750564,"pilot99",10.12268,0.2705448,0.7422025,649859643,"2020-08-04T12:34:04.247Z"
4750566,"pilot99",9.892841,0.03351882,0.1556231,649859644,"2020-08-04T12:34:05.260Z"
4750567,"pilot99",10.14423,0.557849,-0.1412579,649859645,"2020-08-04T12:34:06.210Z"
4750570,"pilot99",10.0772,0.2992752,0.6129156,649859646,"2020-08-04T12:34:07.317Z"
4750572,"pilot99",10.10114,0.5363012,1.292869,649859647,"2020-08-04T12:34:08.340Z"
4750574,"pilot99",9.825804,0.2801216,0.6584055,649859648,"2020-08-04T12:34:09.253Z"
4750576,"pilot99",10.03889,0.3711013,-0.4836287,649859649,"2020-08-04T12:34:10.210Z"
4750577,"pilot99",9.979033,0.2274492,0.2513912,649859650,"2020-08-04T12:34:11.297Z"
4750580,"pilot99",10.17057,-0.02394202,0.213084,649859651,"2020-08-04T12:34:12.230Z"
4750582,"pilot99",10.02452,0.1197101,-0.04548983,649859652,"2020-08-04T12:34:13.247Z"
4750584,"pilot99",9.940725,-0.007182605,-0.1460463,649859653,"2020-08-04T12:34:14.267Z"
4750585,"pilot99",10.10353,0.5051765,0.605733,649859654,"2020-08-04T12:34:15.213Z"
4750588,"pilot99",10.17775,0.1412579,0.5291186,649859655,"2020-08-04T12:34:16.317Z"
4750590,"pilot99",10.10832,0.3878607,-0.4668693,649859656,"2020-08-04T12:34:17.253Z"
4750592,"pilot99",9.995792,0.2442086,0.7230489,649859657,"2020-08-04T12:34:18.327Z"
4750594,"pilot99",10.14663,0.3495534,0.617704,649859658,"2020-08-04T12:34:19.310Z"
4750596,"pilot99",10.07001,0.3711013,0.1915361,649859659,"2020-08-04T12:34:20.310Z"
4750598,"pilot99",10.14184,0.04070143,-0.6775591,649859660,"2020-08-04T12:34:21.303Z"
4750600,"pilot99",10.15381,0.1795651,0.2011129,649859661,"2020-08-04T12:34:22.250Z"
4750601,"pilot99",10.01734,0.09816227,0.7445967,649859662,"2020-08-04T12:34:23.267Z"
4750603,"pilot99",10.24,0.6512229,0.2777274,649859663,"2020-08-04T12:34:24.297Z"
4750606,"pilot99",10.06762,0.2896984,-0.1316811,649859664,"2020-08-04T12:34:25.327Z"
4750608,"pilot99",10.26155,0.3567361,0.1747767,649859665,"2020-08-04T12:34:26.250Z"
4750610,"pilot99",10.01255,0.4692635,1.125275,649859666,"2020-08-04T12:34:27.213Z"
4750611,"pilot99",10.20648,0.2705448,-0.05985504,649859667,"2020-08-04T12:34:28.283Z"
4750614,"pilot99",10.1179,0.1029507,-0.1939303,649859668,"2020-08-04T12:34:29.373Z"
4750616,"pilot99",10.20409,0.2082956,-0.1125275,649859669,"2020-08-04T12:34:30.337Z"
4750617,"pilot99",10.10593,0.1628057,0.5530606,649859670,"2020-08-04T12:34:31.250Z"
4750619,"pilot99",10.25197,0.4908113,-0.3112462,649859671,"2020-08-04T12:34:32.283Z"
4750622,"pilot99",10.04846,0.521936,0.3854665,649859672,"2020-08-04T12:34:33.313Z"
4750624,"pilot99",10.18015,0.2178724,0.4381389,649859673,"2020-08-04T12:34:34.233Z"
4750626,"pilot99",10.08198,0.5434838,0.7852982,649859674,"2020-08-04T12:34:35.247Z"
